2016-09-23 17:25:26 status unpacked dash:amd64 0.5.7-4+b1
2016-09-23 17:25:26 status unpacked dash:amd64 0.5.7-4+b1
2016-09-23 17:25:26 install libdb5.3:amd64 <none> 5.3.28-9
2016-09-23 17:25:26 status half-installed libdb5.3:amd64 5.3.28-9
2016-09-23 17:25:26 status unpacked libdb5.3:amd64 5.3.28-9
2016-09-23 17:25:26 status unpacked libdb5.3:amd64 5.3.28-9
2016-09-23 17:25:26 install debconf:all <none> 1.5.56
2016-09-23 17:25:26 status half-installed debconf:all 1.5.56
2016-09-23 17:25:26 status unpacked debconf:all 1.5.56
2016-09-23 17:25:26 status unpacked debconf:all 1.5.56
2016-09-23 17:25:27 install debconf-i18n:all <none> 1.5.56
2016-09-23 17:25:27 status half-installed debconf-i18n:all 1.5.56
2016-09-23 17:25:27 status unpacked debconf-i18n:all 1.5.56
2016-09-23 17:25:27 status unpacked debconf-i18n:all 1.5.56
2016-09-23 17:25:27 install debianutils:amd64 <none> 4.4+b1
2016-09-23 17:25:27 status half-installed debianutils:amd64 4.4+b1
2016-09-23 17:25:27 status unpacked debianutils:amd64 4.4+b1
2016-09-23 17:25:27 status unpacked debianutils:amd64 4.4+b1
2016-09-23 17:25:27 install diffutils:amd64 <none> 1:3.3-1+b1
2016-09-23 17:25:27 status half-installed diffutils:amd64 1:3.3-1+b1
2016-09-23 17:25:27 status unpacked diffutils:amd64 1:3.3-1+b1
2016-09-23 17:25:27 status unpacked diffutils:amd64 1:3.3-1+b1
2016-09-23 17:25:27 upgrade dpkg:amd64 1.17.27 1.17.27
2016-09-23 17:25:27 status half-configured dpkg:amd64 1.17.27
2016-09-23 17:25:27 status unpacked dpkg:amd64 1.17.27
2016-09-23 17:25:27 status half-installed dpkg:amd64 1.17.27
2016-09-23 17:25:28 status half-installed dpkg:amd64 1.17.27
2016-09-23 17:25:28 status unpacked dpkg:amd64 1.17.27
2016-09-23 17:25:28 status unpacked dpkg:amd64 1.17.27
2016-09-23 17:25:28 install e2fslibs:amd64 <none> 1.42.12-2
2016-09-23 17:25:28 status half-installed e2fslibs:amd64 1.42.12-2
2016-09-23 17:25:28 status unpacked e2fslibs:amd64 1.42.12-2
2016-09-23 17:25:28 status unpacked e2fslibs:amd64 1.42.12-2
2016-09-23 17:25:28 install e2fsprogs:amd64 <none> 1.42.12-2
2016-09-23 17:25:28 status half-installed e2fsprogs:amd64 1.42.12-2
2016-09-23 17:25:28 status unpacked e2fsprogs:amd64 1.42.12-2
2016-09-23 17:25:28 status unpacked e2fsprogs:amd64 1.42.12-2
2016-09-23 17:25:29 install libcomerr2:amd64 <none> 1.42.12-2
2016-09-23 17:25:29 status half-installed libcomerr2:amd64 1.42.12-2
2016-09-23 17:25:29 status unpacked libcomerr2:amd64 1.42.12-2
2016-09-23 17:25:29 status unpacked libcomerr2:amd64 1.42.12-2
2016-09-23 17:25:29 install libss2:amd64 <none> 1.42.12-2
2016-09-23 17:25:29 status half-installed libss2:amd64 1.42.12-2
2016-09-23 17:25:29 status unpacked libss2:amd64 1.42.12-2
2016-09-23 17:25:29 status unpacked libss2:amd64 1.42.12-2
2016-09-23 17:25:29 install findutils:amd64 <none> 4.4.2-9+b1
2016-09-23 17:25:29 status half-installed findutils:amd64 4.4.2-9+b1
2016-09-23 17:25:29 status unpacked findutils:amd64 4.4.2-9+b1
2016-09-23 17:25:29 status unpacked findutils:amd64 4.4.2-9+b1
2016-09-23 17:25:29 install gcc-4.8-base:amd64 <none> 4.8.4-1
2016-09-23 17:25:29 status half-installed gcc-4.8-base:amd64 4.8.4-1
2016-09-23 17:25:30 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-09-23 17:25:30 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-09-23 17:25:30 install gcc-4.9-base:amd64 <none> 4.9.2-10
2016-09-23 17:25:30 status half-installed gcc-4.9-base:amd64 4.9.2-10
2016-09-23 17:25:30 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-09-23 17:25:30 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-09-23 17:25:30 install libgcc1:amd64 <none> 1:4.9.2-10
2016-09-23 17:25:30 status half-installed libgcc1:amd64 1:4.9.2-10
2016-09-23 17:25:30 status unpacked libgcc1:amd64 1:4.9.2-10
2016-09-23 17:25:30 status unpacked libgcc1:amd64 1:4.9.2-10
2016-09-23 17:25:30 install libc-bin:amd64 <none> 2.19-18+deb8u6
2016-09-23 17:25:30 status half-installed libc-bin:amd64 2.19-18+deb8u6
2016-09-23 17:25:30 status unpacked libc-bin:amd64 2.19-18+deb8u6
2016-09-23 17:25:30 status unpacked libc-bin:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 upgrade libc6:amd64 2.19-18+deb8u6 2.19-18+deb8u6
2016-09-23 17:25:31 status half-configured libc6:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 status unpacked libc6:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 status half-installed libc6:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 status half-installed libc6:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 status unpacked libc6:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 status unpacked libc6:amd64 2.19-18+deb8u6
2016-09-23 17:25:31 install multiarch-support:amd64 <none> 2.19-18+deb8u6
2016-09-23 17:25:31 status half-installed multiarch-support:amd64 2.19-18+deb8u6
2016-09-23 17:25:32 status unpacked multiarch-support:amd64 2.19-18+deb8u6
2016-09-23 17:25:32 status unpacked multiarch-support:amd64 2.19-18+deb8u6
2016-09-23 17:25:32 install grep:amd64 <none> 2.20-4.1
2016-09-23 17:25:32 status half-installed grep:amd64 2.20-4.1
2016-09-23 17:25:32 status unpacked grep:amd64 2.20-4.1
2016-09-23 17:25:32 status unpacked grep:amd64 2.20-4.1
2016-09-23 17:25:32 install gzip:amd64 <none> 1.6-4
2016-09-23 17:25:32 status half-installed gzip:amd64 1.6-4
2016-09-23 17:25:32 status unpacked gzip:amd64 1.6-4
2016-09-23 17:25:32 status unpacked gzip:amd64 1.6-4
